#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;;;;;;
EVTOPTA_RIRSEI_2002060;Well;D'accord.;;;;;;;;;;x;;;;;;;;;;
coronation_rejected;The Pope dismissed the coronation of the King of the Romans !;Le Pape a rejeté la demande de couronnement du roi des Romains !;;;;;;;;;;x;;;;;;;;;;
opinion_attended_ceremony;Wait the imperial coronation;Attends le couronnement impérial;;;;;;;;;;x;;;;;;;;;;
coronation;Requst to be crowned Emperor;Demander à être couronné Empereur;;;;;;;;;;x;;;;;;;;;;
coronation_desc;Send a letter to the Pope for the imperial coronation in Rome. The blessing, the coronation and the regalia are required to become Emperor of the Romans, legitimate ruler of the Empire.;Envoyer une missive au Pape pourqu'il accepte de vous couronner à Rome. La bénédiction, le couronnement et la remise des Regalia est nécessaire pour devenir Empereur des Romains, souverain légitime de l'Empire.;;;;;;;;;;x;;;;;;;;;;
crowned_by_pope;Crowned Emperor of the Romans;Couronné Empereur des Romains;;;;;;;;;;x;;;;;;;;;;
crowned_by_pope_desc;This man was crowned by the Pope and received the Imperial Regalia : he's the fully sovereign of the Empire as Emperor of the Romans.;Cet homme a été couronné par le Pape et il a reçu les Regalia impériaux : il est désormais pleinement le souverain de l'Empire en tant qu'Empereur des Romains;;;;;;;;;;x;;;;;;;;;;
roi_des_romains;Rex Romanorum;Rex Romanorum;;;;;;;;;;x;;;;;;;;;;
roi_des_romains_desc;This man was elected Rex Romanorum by vassals of the Empire. However, it must be crowned by the Pope to be truly Emperor !;Cet homme a été élu Rex Romanorum par les vassaux de l'Empire. Cependant, il faut qu'il soit couronné par le Pape pour être véritablement Empereur !;;;;;;;;;;x;;;;;;;;;;
EVTNAME_RIRSEI_525252;;Rex Romanorum;blou;;;;;;;;;x;;;;;;;;;;
EVTDESC_RIRSEI_525252;;Le souverain élu de l'Empire n'est que Roi des Romains. Pour être réellement Imperator, il doit être couronné à Rome par le Pape.;blou;;;;;;;;;x;;;;;;;;;;
EVTOPTA_RIRSEI_525252;;Entendu;blou;;;;;;;;;x;;;;;;;;;;
Rex_romanum;Bear the title of King of the Romans;Porter le titre de roi des Romains;;;;;;;;;;x;;;;;;;;;;
Rex_romanum_desc;"The title of ""Rex romanorum"" is carried by an elected emperor, but not yet formally crowned Emperor by the Pope";Le titre de "Rex romanorum" est porté par un empereur élu, mais qui n'est pas encore couronné formellement Empereur par le Pape;;;;;;;;;;x;;;;;;;;;;
stupor_mundi;Stupor Mundi;Stupor Mundi;;;;;;;;;;x;;;;;;;;;;
stupor_mundi_desc;The Emperor claim that he is the head of the Christian world;Cet Empereur affirme qu'il est à la tête du monde chrétien;;;;;;;;;;x;;;;;;;;;;
phare_christ; Declare to be the beacon of Christendom;Se déclarer être le phare de la chrétienté;;;;;;;;;;x;;;;;;;;;;
phare_christ_desc;It is time to say aloud the temporal superiority of the Emperor on the Christian world. While the Holy Father and other Catholic monarchs will be outraged at our legitimate claim, but it will allow us to strengthen our power in the Empire. In addition, it is a first step towards the full restoration of the Imperium Romanum;Il est temps d'affirmer bien haut la supériorité temporelle de l'Empereur sur le monde chrétien. Certes, le Saint-Père et les autres monarques catholiques seront outrés de notre légitime réclamation, mais cela nous permettra de renforcer notre pouvoir dans l'Empire. De plus, c'est un premier pas vers la restauration totale de l'Imperium Romanum;;;;;;;;;;x;;;;;;;;;;
Emp_stupor;This independent Catholic monarch is outraged by the assertion of the temporal superiority of the Emperor;Ce monarque catholique indépendant est outré de l'affirmation de la supériorité temporelle de l'Empereur;;;;;;;;;;x;;;;;;;;;;
EVTNAME_RIRSEI_535353;The Emperor claim that he should govern all Christendom!;L'Empereur affirme qu'il doit diriger toute la chrétienté !;;;;;;;;;x;;;;;;;;;;;
EVTDESC_RIRSEI_535353;We often mocked the supposed temporal sovereignty of the Emperor on the Catholic Christendom. However, the last ruler of the Empire gained power and unmatched prestige, which is why he just claim it is the beacon of all Christendom !;Nous nous sommes souvent moqués de la prétendue souveraineté temporelle de l'Empereur sur la chrétienté catholique. Cependant, le dernier souverain de l'Empire a acquis une puissance et un prestige inégalés, ce qui explique pourquoi il vient de déclarer qu'il est le phare de toute la chrétienté !;;;;;;;;;x;;;;;;;;;;
EVTOPTA_RIRSEI_535353;Cursed be the Emperor!;Maudit soit l'Empereur !;;;;;;;;;x;;;;;;;;;;;
#;;;;;;;;;;;;x;;;;;;;;;;
EVTNAME_RIRSEI_545454;Emperor claim the kingdom!;L'Empereur reclame le royaume !;;;;;;;;;x;;;;;;;;;;;
EVTDESC_RIRSEI_545454; After the Emperor had said he was the light of Christianity, we were unhappy but far from thinking that he would claim our title! The ruler of the Empire believes it must meet under the crown all the lands of Charlemagne!;Après que l'Empereur eut déclaré qu'il était le phare de la chrétienté, nous étions mécontents mais loin de penser qu'il allait prétendre à notre titre ! Le souverain de l'Empire estime qu'il doit réunir sous sa couronne toutes les terres de Charlemagne !;;;;;;;;;x;;;;;;;;;;;
EVTOPTA_RIRSEI_545454;Cursed be the Emperor!;Maudit soit l'Empereur !;;;;;;;;;x;;;;;;;;;;;
Emp_fr;The King of France is furious that the Emperor lays claim to this title!;Le roi de France est furieux que l'Empereur prétende à son titre !;;;;;;;;;;x;;;;;;;;;;
reclamer_france;Claim the kingdom of France;Réclamer le royaume de France;;;;;;;;;;x;;;;;;;;;;
reclamer_france_desc;Since the death of Charles the Fat, the various kingdoms composing the Roman Empire were never again united under the same crown. Certainly, the Empire was reconstituted with Otto, but despite the claims of the following emperors, the crown of France experienced a different fate of the Empire. Now that we have restored our power and affirmed and the temporal sovereignty of the Emperor over the Christian world, it is time to take advantage of the weakness of the kingdom of France to unite under our crown the whole Empire of Charlemagne!;Depuis la mort de Charles le Gros, les différents royaumes composant l'Empire romain ne furent plus jamais unis sous la même couronne. Certes, l'Empire se reconstitua grâce à Otton, mais malgré les prétentions des empereurs suivant, la couronne de France connut un destin différent de l'Empire. Maintenant que nous avons restauré notre puissance et affirmé et la souveraineté temporelle de l'Empereur sur le monde chrétien, il est temps de profiter de la faiblesse du royaume de France pour réunir sous notre couronne la totalité de l'Empire de Charlemagne !;;;;;;;;;;x;;;; ;;;;;;
#;;;;;;;;;;;;x;;;;;;;;;;
EVTNAME_RIRSEI_555555;Renovatio Imperii !;Renovatio Imperii !;;;;;;;;;x;;;;;;;;;;;
EVTDESC_RIRSEI_555555;The Emperor dominates the same territories as the Empire of Charlemagne and the independence of the kingdom of France is only a memory. We hit new moneys, where the Imperator Semper Augustus is represented as the ancient Roman emperors. For it is evident that we are their legitimate successors, and it is time to reclaim our rightful sovereignty over the rest of the territories of the Western Roman Empire, because it is the will of God!; L'Empereur domine les mêmes territoires que l'Empire de Charlemagne et l'indépendance du royaume de France n'est plus qu'un souvenir. Nous avons frappé de nouvelles monnaies, où l'Imperator Semper Augustus est représenté comme les anciens empereurs romains. Car il est évident que nous sommes leurs véritables successeurs, et qu'il est temps de réclamer notre souveraineté légitime sur le reste des territoires de l'Empire romain d'Occident, car c'est la volonté de Dieu !;;;;;;;;;x;;;;;;;;;;;
EVTOPTA_RIRSEI_555555;Long live the Imperium Romanum; Vive l'Imperium Romanum !;;;;;;;;;x;;;;;;;;;;;
renova_imperi;Renovatio Imperii;Renovatio Imperii;;;;;;;;;;x;;;;;;;;;;
renova_imperi_desc;By combining the three crowns of the Empire of Charlemagne, Italy, France, Germany, and establishing a strong power in the Empire, not only can we assert ourselves as the true successor of Charlemagne, but also as the best heir of the Roman Empire;En réunissant les trois couronnes de l'Empire de Charlemagne, Italie, France, Germanie et en établissant un pouvoir fort dans l'Empire, nous pouvons non seulement nous affirmer comme les véritables successeurs de Charlemagne, mais aussi de l'Empire romain d'Occident. L'Empire sera ainsi restauré.;;;;;;;;;;x;;;;;;;;;;
EVTNAME_RIRSEI_565656;Renovatio Imperii !;Renovatio Imperii !;;;;;;;;;x;;;;;;;;;;;
EVTDESC_RIRSEI_565656;Misery! The Empire has grown considerably in power, so he claimed and obtained the kingdom of France. All titles territories of the Empire of Charlemagne having fallen into the hands of the Emperor, he claim the restoration of the Roman Empire!; Misère ! L'Empire a considérablement grandit en puissance, de telle sorte qu'il a réclamé, et obtenu, le royaume de France. Tous les titres des territoires de l'Empire de Charlemagne étant tombés entre les mains de l'Empereur, il a déclaré la restauration de l'Empire romain !;;;;;;;;;x;;;;;;;;;;;
EVTOPTA_RIRSEI_565656;It will be difficult not to fall into the hands of the head of Christendom!; Nous aurons du mal à ne pas tomber entre les mains du chef de la chrétienté !;;;;;;;;;x;;;;;;;;;;;
EVTNAME_RIRSEI_575757;The Dawn of a New Era;L'Aube d'une Ère nouvelle;;;;;;;;;x;;;;;;;;;;;
EVTDESC_RIRSEI_575757; Friends, Romans, citizens, listen to me! After the miraculous recovery of lost territories for centuries, the Roman Empire has risen! Who could imagine that the descendants of Charlemagne succeed in unifying all the territories of the Western Empire? In the East, the Greek Basileus is mortified to our success, because it shows that we are the true heirs of the Roman power. Everywhere the people cheering the Imperator as a New David, New Constantine ! Forward now ! Assume our universal destiny and guide the whole of Christendom to eternal glory!; Amis, Romains, compatriotes, écoutez-moi ! Après le recouvrement miraculeux de territoires perdus depuis des siècles, l'Empire romain a ressuscité ! Qui aurait pu imaginer que les descendants de Charlemagne réussiraient à unifier tous les territoires de l'Empire d'Occident ? Dans l'Orient, le Basileus des Grecs est mortifié de notre réussite, car elle montre que nous sommes les vrais dépositaires de la puissance romaine.Partout on acclame l'Imperator comme un Nouveau David, Nouveau Constantin ! En avant maintenant, assumons notre destin universel et guidons l'ensemble de la chrétienté vers la gloire éternelle !;;;;;;;;;x;;;;;;;;;;;
EVTOPTA_RIRSEI_575757;Esto perpetua !;Esto perpetua !;;;;;;;;;x;;;;;;;;;;;
EVTNAME_RIRSEI_585858;The Second Age of Rome;Le Second Âge de Rome;;;;;;;;;x;;;;;;;;;;;
EVTDESC_RIRSEI_585858;In the West, the Empire has managed to silence all the independence of Catholic Christianity, and now the Emperor reigns over the majority of the former territories of the Western Roman Empire. We can not deny that they are the true successors of the Roman Empire.;En Occident, L'Empire a réussi à faire taire toutes les indépendances de la chrétienté catholique, et désormais l'Empereur règne sur la majorité des anciens territoires de l'Empire romain d'Occident. Nous ne pouvons plus nier qu'ils sont les véritables successeurs de l'Empire romain.;;;;;;;;;x;;;;;;;;;;;
EVTOPTA_RIRSEI_585858;Is this possible;Est-ce possible ?;;;;;;;;;x;;;;;;;;;;;
EVTOPTB_RIRSEI_585858;But it's not me the Emperor of the Romans ?;Mais, c'est pas moi l'empereur des Romains ?;;;;;;;;;x;;;;;;;;;;;
restore_roman_empire_hre;Claim the Roman Empire;Revendiquer l'Empire romain;;;;;;;;;;x;;;;;;;;;;
restore_roman_empire_hre_desc;If we can unite under our banner the territories of the Western Roman Empire, the whole world will recognize us as the true custodian of the Roman power;Si nous réussissons à unir sous notre bannière l'ensemble des territoires de l'Empire romain d'Occident, le monde entier nous reconnaîtra comme le véritable dépositaire de la puissance romaine;;;;;;;;;;x;;;;;;;;;;
unifier_hre;Ask the unification of the Roman Empire;Demander l'unification de l'Empire romain;;;;;;;;;;x;;;;;;;;;;
unifier_hre_desc;Since the death of Theodosius, the Roman Empire was ruled by two different emperors. While, the Greek Basileus long refused to see the heirs of Charlemagne as the legitimate owners of the Roman power, despite the recognition of the Holy Father. But the Empire of Greeks fell very low lately, and it might be good for them and for us to ask them to unite under a single crown the two parts of the Empire;Depuis la mort de Théodose, l'Empire romain fut gouverné par deux empereurs différents. Certes, le Basileus des Grecs refusa longtemps de voir dans les héritiers de Charlemagne les possesseurs légitimes de la puissance romaine, malgré la reconnaissance du Saint-Père. Mais l'Empire des Grecs est tombé bien bas ces derniers temps, et il serait peut-être bon, pour eux comme pour nous, de leur demander de réunir sous une seule et même couronne les deux parties de l'Empire;;;;;;;;;;x;;;;;;;;;;
EVTNAME_RIRSEI_595959;The Emperor must guide Christendom!;L'Empereur doit guider la chrétienté !;;;;;;;;;x;;;;;;;;;;;
EVTDESC_RIRSEI_595959;It is time to say aloud the temporal superiority of the Emperor on the Christian world. Our power in the Empire is strong and we fear only few enemies. Certainly, the Pope and other independent Catholic monarchs are outraged by our statement, but it helps to strengthen our power in the Empire and outside the Empire.;Il est temps d'affirmer bien haut la supériorité temporelle de l'Empereur sur le monde chrétien. Notre pouvoir dans l'Empire est fort et nous ne craignons que peu d'ennemis. Certes, le Pape et les autres monarques catholiques indépendants sont outrés de notre déclaration, mais cela permet de renforcer notre pouvoir dans l'Empire et hors de l'Empire. ;;;;;;;;;x;;;;;;;;;;;
EVTOPTA_RIRSEI_595959;Long live the Emperor of the Romans !;Vive l'Empereur des romains ! ;;;;;;;;;x;;;;;;;;;;;
EVTNAME_RIRSEI_606060;Request for the reunification of the Empire;Demande de réunification de l'Empire;;;;;;;;;x;;;;;;;;;;;
EVTDESC_RIRSEI_606060;"It would be an understatement to say that the Basileia tôn rhomaiôn falls increasingly into decrepitude. We often refused to recognize as equal the ""Roman"" emperors of the West. However, their last emperor, very powerful and prestigious, asks us to unify our crown with his own, and perhaps this is a way for us to survive";"Cela serait faible de dire que la Basileia tôn rhomaiôn tombe de plus en plus dans la décrépitude. Nous avons souvent refusés de reconnaître comme égaux les empereurs "romains" de l'Occident. Cependant, le dernier empereur, très puissant et très prestigieux, nous demande d'unifier notre couronne avec la sienne, et c'est peut-être un moyen pour nous de survivre.;;;;;;;;;x;;;;;;;;;;;
